Year,Sector,GDP_Contribution,IIP,CPI,Consumption
2020,"Manufacture of computer, electronic and optical products",132.0,132.0,,
2020,"Manufacture of computer, electronic and optical products",132.0,-12.6,,
2021,"Manufacture of computer, electronic and optical products",146.6,146.6,,
2021,"Manufacture of computer, electronic and optical products",146.6,11.1,,
2022,"Manufacture of computer, electronic and optical products",137.2,137.2,,
2022,"Manufacture of computer, electronic and optical products",137.2,-6.4,,
2013,Manufacture of electrical equipment,117.4,117.4,,
2013,Manufacture of electrical equipment,117.4,3.9,,
2014,Manufacture of electrical equipment,122.0,122.0,,
2014,Manufacture of electrical equipment,122.0,3.9,,
2015,Manufacture of electrical equipment,128.4,128.4,,
2015,Manufacture of electrical equipment,128.4,5.2,,
2016,Manufacture of electrical equipment,122.6,122.6,,
2016,Manufacture of electrical equipment,122.6,-4.5,,
2017,Manufacture of electrical equipment,107.4,107.4,,
2017,Manufacture of electrical equipment,107.4,-12.4,,
2018,Manufacture of electrical equipment,110.1,110.1,,
2018,Manufacture of electrical equipment,110.1,2.5,,
2019,Manufacture of electrical equipment,105.2,105.2,,
2019,Manufacture of electrical equipment,105.2,-4.5,,
2020,Manufacture of electrical equipment,92.3,92.3,,
2020,Manufacture of electrical equipment,92.3,-12.3,,
2021,Manufacture of electrical equipment,103.6,103.6,,
2021,Manufacture of electrical equipment,103.6,12.2,,
2022,Manufacture of electrical equipment,99.3,99.3,,
2022,Manufacture of electrical equipment,99.3,-4.2,,
2013,Manufacture of machinery and equipment n.e.c.,103.3,103.3,,
2013,Manufacture of machinery and equipment n.e.c.,103.3,0.4,,
2014,Manufacture of machinery and equipment n.e.c.,102.6,102.6,,
2014,Manufacture of machinery and equipment n.e.c.,102.6,-0.7,,
2015,Manufacture of machinery and equipment n.e.c.,105.9,105.9,,
2015,Manufacture of machinery and equipment n.e.c.,105.9,3.2,,
2016,Manufacture of machinery and equipment n.e.c.,114.1,114.1,,
2016,Manufacture of machinery and equipment n.e.c.,114.1,7.7,,
2017,Manufacture of machinery and equipment n.e.c.,120.5,120.5,,
2017,Manufacture of machinery and equipment n.e.c.,120.5,5.6,,
2018,Manufacture of machinery and equipment n.e.c.,123.4,123.4,,
2018,Manufacture of machinery and equipment n.e.c.,123.4,2.4,,
2019,Manufacture of machinery and equipment n.e.c.,107.7,107.7,,
2019,Manufacture of machinery and equipment n.e.c.,107.7,-12.7,,
2020,Manufacture of machinery and equipment n.e.c.,92.5,92.5,,
2020,Manufacture of machinery and equipment n.e.c.,92.5,-14.1,,
2021,Manufacture of machinery and equipment n.e.c.,102.7,102.7,,
2021,Manufacture of machinery and equipment n.e.c.,102.7,11.0,,
2022,Manufacture of machinery and equipment n.e.c.,113.5,113.5,,
2022,Manufacture of machinery and equipment n.e.c.,113.5,10.5,,
2013,"Manufacture of motor vehicles, trailers and semi-trailers",99.1,99.1,,
2013,"Manufacture of motor vehicles, trailers and semi-trailers",99.1,-1.0,,
2014,"Manufacture of motor vehicles, trailers and semi-trailers",102.6,102.6,,
2014,"Manufacture of motor vehicles, trailers and semi-trailers",102.6,3.5,,
2015,"Manufacture of motor vehicles, trailers and semi-trailers",101.1,101.1,,
2015,"Manufacture of motor vehicles, trailers and semi-trailers",101.1,-1.5,,
2016,"Manufacture of motor vehicles, trailers and semi-trailers",101.7,101.7,,
2016,"Manufacture of motor vehicles, trailers and semi-trailers",101.7,0.6,,
2017,"Manufacture of motor vehicles, trailers and semi-trailers",114.5,114.5,,
2017,"Manufacture of motor vehicles, trailers and semi-trailers",114.5,12.6,,
2018,"Manufacture of motor vehicles, trailers and semi-trailers",122.7,122.7,,
2018,"Manufacture of motor vehicles, trailers and semi-trailers",122.7,7.2,,
2019,"Manufacture of motor vehicles, trailers and semi-trailers",100.2,100.2,,
2019,"Manufacture of motor vehicles, trailers and semi-trailers",100.2,-18.3,,
2020,"Manufacture of motor vehicles, trailers and semi-trailers",81.1,81.1,,
2020,"Manufacture of motor vehicles, trailers and semi-trailers",81.1,-19.1,,
2021,"Manufacture of motor vehicles, trailers and semi-trailers",96.0,96.0,,
2021,"Manufacture of motor vehicles, trailers and semi-trailers",96.0,18.4,,
2022,"Manufacture of motor vehicles, trailers and semi-trailers",114.5,114.5,,
